,name,Tullio_Data,Satus,comment,corot,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk_fit,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,geometry,logL_ourmass,logL_fitmass,chi2_t^-2_fitmass,chi2_t^-2_ourmass,logL_fitmass_new,logL_ourmass_new,err_ourmass_new,err_fitmass_new,logL
0,BHBlp_M13641364_M0_LK_SR,,,R04,False,,passed,BHBlp,1364.0,1364.0,1.4873,1.4873,2.9746,1.35225890291,1.35225890291,8.94038740121,8.94038740121,0.151252793847,0.151252793847,0.10081970336000001,0.10081970336000001,849.055826418,849.055826418,849.055826417571,159.1982909844279,0.019813517690437862,,2.70358,0.00011411567154200001,7.40525,-0.0014997931183399998,282.6480380851897,398.39513677800005,1.7104693787887615e-05,-1.7104693787887615e-05,0.019813517690437862,8.671918477189858e-05,0.0996188559614355,,0.0,0.0,0.0,8.562842378023771e-05,,,,,,aniso3comp,,,,,,,,,
1,BHBlp_M14931248_M0_LK_SR,,,R04,False,,passed,BHBlp,1493.0,1248.0,1.6436,1.3493,2.9929,1.4801767686899998,1.23712723256,8.952293501749999,8.91203955182,0.165340511369,0.13881550633099998,0.0929542088968,0.107100688536,501.51214807400004,1385.21335752,838.6561901170218,157.56380922548894,0.022343405987426943,,2.71648,0.00011546339090700001,7.405660000000001,-0.00150716473166,283.16688319966926,398.39513677800005,1.6620539129940612e-05,-1.6620539129940612e-05,0.022343405987426943,8.672310679870173e-05,0.09958912268995067,,0.0,0.0,0.0,8.577921400485303e-05,,,,,,aniso3comp,,,,,,,,,
2,DD2_M13641364_M0_LK_LR_R04,,,R04,False,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.65917893120616,2589.56838906,0.007484609869479961,inf,0.13048233845779206,,0.09962120017626783,,0.0009234,0.0,3.2670156988420965e-05,0.017054845639985862,38.33748272322318,0.26722850068548026,27.953776769005852,0.15721353673976607,0.02039851120985528,aniso3comp,-35999.683514641896,-35999.683514641896,16968.729117512208,16968.729117512208,-22788.94896686475,-22788.94896686475,0.015557590625736771,0.015557590625736771,45577.897933729524
3,DD2_M13641364_M0_LK_SR_R04,,,R04,False,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.05882581385896109,,2.70356,0.0491811202964,7.4056,1.74301048783,282.65917893120616,2489.96960486,0.0077722762957731124,inf,0.05882581385896109,,0.09962120017626783,,0.00145906,0.0,0.0018631254538395824,0.025817677585338563,39.10483596757658,0.27956244049051204,25.99417923905117,0.15358199686270613,0.030759625088874483,aniso3comp,-30129.6714172664,-30129.6714172664,14722.500381989372,14722.500381989372,-18636.66688336954,-18636.66688336954,0.013328354498053623,0.013328354498053623,37273.333766739044
4,DD2_M13641364_M0_LR,,,R01,False,,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.05009336453477448,,2.70514,0.045105535127099985,7.4276,1.73658209496,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.05009336453477448,,0.09959440751833201,,0.0007697169999999997,0.0,0.0012298437496043187,0.02251692565649473,32.84142858501321,0.2065052696294099,22.117988581257787,0.17345057645082546,0.02069718031080179,aniso3comp,-35740.235069006805,-35740.235069006805,16300.117810714752,16300.117810714752,-22882.79950683067,-22882.79950683067,0.015868048094643362,0.015868048094643362,45765.59901366137
5,DD2_M13641364_M0_LR_R04,,,R04,False,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.10110095661612443,,2.70356,0.0523472143449,7.4056,1.8941016276499998,282.65917893120616,2489.96960486,0.009139676979659736,inf,0.10110095661612443,,0.09962120017626783,,0.00119645,0.0,0.0017530378407728394,0.02675773807167619,37.562884094702476,0.24802886515156386,25.20560092791173,0.17210754467299094,0.031675406240879014,aniso3comp,-30028.126291079327,-30028.126291079327,13993.932590955212,13993.932590955212,-18398.727128943057,-18398.727128943057,0.013631939913783041,0.013631939913783041,36797.454257886115
6,DD2_M13641364_M0_SR,,,R01,False,,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.3550181831499999,1.3550181831499999,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.10077583372400001,0.10077583372400001,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.1095181550621816,,2.70514,0.04220456104880002,7.4276,1.7400962070099997,283.3276296921921,2390.37082067,0.01240646420427648,inf,0.1095181550621816,,0.09959440751833201,,0.00263355,0.0,0.0004602105213207916,0.017556100138146076,32.700278484096586,0.22638506493647625,18.4552968053388,0.14169050111738907,0.04725541514582203,aniso3comp,-25251.42786462672,-25251.42786462672,13109.213280783579,13109.213280783579,-16277.36349738646,-16277.36349738646,0.011652997885504744,0.011652997885504744,32554.726994772947
7,DD2_M13641364_M0_SR_R04,,,R04,False,,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.3522908817700001,1.3522908817700001,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.08717474907475464,,2.70356,0.0479317557179,7.4056,1.7874287852500002,282.65917893120616,2539.76899696,0.009320946234584187,inf,0.08717474907475464,,0.09962120017626783,,0.00102604,0.0,0.0012190687818710185,0.018455372634401446,36.81575205910953,0.24381166099236384,26.098977142119214,0.18772360350668602,0.03231690970280169,aniso3comp,-30640.519192250416,-30640.519192250416,13835.278227642093,13835.278227642093,-18603.497412606743,-18603.497412606743,0.014025470662053669,0.014025470662053672,37206.99482521346
8,DD2_M14321300_M0_LR,,,R04,False,,passed,DD2,1432.0,1.3,1.5689,1.4109,2.9798,1.4194234563400001,1.28880146176,8.954098133130001,8.930219143939999,0.15852201486700002,0.144319142181,0.09702204219319999,0.104133353214,646.1377167730001,1108.86633759,847.6635642501843,159.02814694469785,0.05094454190572408,,2.70722,0.0451807773774,7.4062,1.7280737142500002,282.84698176405465,2440.17021277,0.009265628294598687,inf,0.05094454190572408,,0.0996150920638049,,0.00124406,0.0,0.0015868644635563436,0.01819173396889351,35.313538573938125,0.2519476272551027,24.760454167765218,0.15981402220632446,0.028398670293588637,aniso3comp,-31122.967130685523,-31122.967130685523,14864.167708016392,14864.167708016392,-19280.132167414577,-19280.132167414577,0.013866824940174742,0.013866824940174742,38560.26433482913
9,DD2_M14351298_M0_LR,,,R01,False,,passed,DD2,1435.0,1298.0,1.5743,1.4105,2.9848,1.42384261414,1.28846736986,8.95543757845,8.93012979813,0.158991692697,0.144283168519,0.0967289918761,0.10415131081399999,634.723987019,1110.44044957,840.8444014427437,157.75574966764574,0.03814535625366716,,2.7073,0.0410429378759,7.405689999999999,1.65253389976,282.8422071157618,2440.17021277,0.011771835525776536,inf,0.03814535625366716,,0.09959569814818305,,0.00101215,0.0,0.0016390624218635382,0.022872682333191115,35.44737642386594,0.2338168482867357,21.046976423158625,0.18236004251889545,0.030083793383161736,aniso3comp,-30772.472063481502,-30772.472063481502,13961.816865587789,13961.816865587789,-19120.946810653644,-19120.946810653644,0.014211084548355785,0.014211084548355785,38241.893621307274
