,name,Lambda,xi_w,xi_s,geometry,chi2
0,0.0,300.0,0.1,0.1,aniso4comp,10774589.293683002
1,1.0,300.0,0.1,0.2,aniso4comp,10508323.72056872
2,2.0,300.0,0.1,0.3,aniso4comp,9896394.83581694
3,3.0,300.0,0.1,0.4,aniso4comp,9219983.65622497
4,4.0,300.0,0.15,0.1,aniso4comp,9403045.09105109
5,5.0,300.0,0.15,0.2,aniso4comp,9340862.383735066
6,6.0,300.0,0.15,0.3,aniso4comp,8962499.28220903
7,7.0,300.0,0.15,0.4,aniso4comp,8475439.039862437
8,8.0,300.0,0.2,0.1,aniso4comp,8255576.039581916
9,9.0,300.0,0.2,0.2,aniso4comp,8269633.884361831
10,10.0,300.0,0.2,0.3,aniso4comp,8035818.53744478
11,11.0,300.0,0.2,0.4,aniso4comp,7693661.348668592
12,12.0,400.0,0.1,0.1,aniso4comp,850780.6562599872
13,13.0,400.0,0.1,0.2,aniso4comp,629174.9506363567
14,14.0,400.0,0.1,0.3,aniso4comp,499766.1272917216
15,15.0,400.0,0.1,0.4,aniso4comp,415389.9781650044
16,16.0,400.0,0.15,0.1,aniso4comp,481288.9673394833
17,17.0,400.0,0.15,0.2,aniso4comp,357252.9234342081
18,18.0,400.0,0.15,0.3,aniso4comp,284224.17380629346
19,19.0,400.0,0.15,0.4,aniso4comp,234576.2038921472
20,20.0,400.0,0.2,0.1,aniso4comp,286707.04415695876
21,21.0,400.0,0.2,0.2,aniso4comp,211041.06664961367
22,22.0,400.0,0.2,0.3,aniso4comp,165893.62975516287
23,23.0,400.0,0.2,0.4,aniso4comp,135438.04533208732
24,24.0,500.0,0.1,0.1,aniso4comp,371901.2692138207
25,25.0,500.0,0.1,0.2,aniso4comp,255680.80703889276
26,26.0,500.0,0.1,0.3,aniso4comp,191716.69516815606
27,27.0,500.0,0.1,0.4,aniso4comp,150443.1522073641
28,28.0,500.0,0.15,0.1,aniso4comp,170076.59751370794
29,29.0,500.0,0.15,0.2,aniso4comp,113740.9002852387
30,30.0,500.0,0.15,0.3,aniso4comp,83216.05150675781
31,31.0,500.0,0.15,0.4,aniso4comp,63955.84305854302
32,32.0,500.0,0.2,0.1,aniso4comp,78270.59021513865
33,33.0,500.0,0.2,0.2,aniso4comp,50898.9927614226
34,34.0,500.0,0.2,0.3,aniso4comp,37176.44355898543
35,35.0,500.0,0.2,0.4,aniso4comp,29335.221895060804
36,36.0,600.0,0.1,0.1,aniso4comp,262020.2953842415
37,37.0,600.0,0.1,0.2,aniso4comp,173212.08355899836
38,38.0,600.0,0.1,0.3,aniso4comp,126054.95691102417
39,39.0,600.0,0.1,0.4,aniso4comp,97325.40858414263
40,40.0,600.0,0.15,0.1,aniso4comp,108623.09633217288
41,41.0,600.0,0.15,0.2,aniso4comp,69740.1114203953
42,42.0,600.0,0.15,0.3,aniso4comp,49990.533529952896
43,43.0,600.0,0.15,0.4,aniso4comp,38791.0062837548
44,44.0,600.0,0.2,0.1,aniso4comp,46562.49791274329
45,45.0,600.0,0.2,0.2,aniso4comp,31255.345156273026
46,46.0,600.0,0.2,0.3,aniso4comp,25097.877925880504
47,47.0,600.0,0.2,0.4,aniso4comp,22803.282190471407
48,48.0,700.0,0.1,0.1,aniso4comp,218192.50442058122
