,name,reliable,corot,Tullio_Data,Satus,comment,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,chi2_simDisk,chi2_fitDisk,err_simDisk,err_fitDisk,chi2w_simDisk,chi2w_fitDisk,errw_simDisk,errw_fitDisk,chi2
0,BHBlp_M13641364_M0_LK_SR,False,False,,,R04,SR,passed,BHBlp,1364.0,1364.0,1.4873,1.4873,2.9746,1.35225890291,1.35225890291,8.94038740121,8.94038740121,0.151252793847,0.151252793847,0.10081970336,0.10081970336,849.055826418,849.055826418,849.055826417571,159.1982909844279,0.019813517690437862,,2.70358,0.000114115671542,7.40525,-0.0014997931183399998,282.6480380851897,398.39513677800005,1.7104693787887615e-05,-1.7104693787887615e-05,0.019813517690437862,8.671918477189858e-05,,0.0,0.0,0.0,8.562842378023771e-05,,,,,,,,,,,,,,
1,BHBlp_M14931248_M0_LK_SR,False,False,,,R04,SR,passed,BHBlp,1493.0,1248.0,1.6436,1.3493,2.9929,1.4801767686899998,1.23712723256,8.952293501749999,8.91203955182,0.165340511369,0.13881550633099998,0.0929542088968,0.107100688536,501.51214807400004,1385.21335752,838.6561901170218,157.56380922548894,0.022343405987426943,,2.71648,0.000115463390907,7.405660000000001,-0.00150716473166,283.16688319966926,398.39513677800005,1.6620539129940612e-05,-1.6620539129940612e-05,0.022343405987426943,8.672310679870173e-05,,0.0,0.0,0.0,8.577921400485303e-05,,,,,,,,,,,,,,
2,DD2_M13641364_M0_HR,True,False,,,R01,HR,not passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.35501818315,1.35501818315,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.01929335374152422,,2.70514,0.0373408374359,7.4276,1.48816823761,283.3276296921921,2639.36778116,0.012702011902522868,inf,0.01929335374152422,,,0.000575046,0.1957805807432098,0.0006994343168135997,0.0036934526940918225,29.10431584347157,0.2163516937504554,22.7808290745436,0.218040543410162,0.02443461976172509,47946.16349058894,47946.16349058894,0.016638402438347005,0.016638402438347005,6742.723645119946,6742.723645119946,0.0031729971402279914,0.0031729971402279914,37369.06782750874
3,DD2_M13641364_M0_HR_R04,True,False,,,R04,HR,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.01765404917525092,,2.70356,0.0477654624752,7.4056,1.77151682664,282.65917893120616,2689.16717325,0.009525859305368348,inf,0.01765404917525092,,,0.00055948,0.06458348386150033,0.0006691292817490327,0.006303471693818573,35.13563440639291,0.23913897433230136,30.314155291645807,0.2115763833452492,0.022384524170492668,49023.566277147605,49023.566277147605,0.016812363891251566,0.016812363891251566,6963.887890621972,6963.887890621972,0.0032428755422382483,0.0032428755422382483,37710.98836422698
4,DD2_M13641364_M0_LK_HR_R04,True,False,,,R04,HR,not passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.02351771550845925,,2.70356,0.0514485742203,7.4056,1.79696381499,282.65917893120616,2589.56838906,0.008217568161131004,inf,0.02351771550845925,,,0.00119197,0.002537661448401497,0.00183621717261856,0.019761412979155717,39.76735214559578,0.2601583542282123,25.519887892648306,0.15858953464089698,0.026794258389066482,39679.762997061225,39679.762997061225,0.014147903980010534,0.014147903980010534,5963.888078885399,5963.888078885399,0.0030185781488731808,0.0030185781488731808,26871.99501712849
5,DD2_M13641364_M0_LK_LR_R04,True,False,,,R04,LR,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.13048233845779206,,2.70356,0.0463131470979,7.4056,1.62018380833,282.65917893120616,2589.56838906,0.007484609869479961,inf,0.13048233845779206,,,0.0009234,0.0,3.2670156988420965e-05,0.017054845639985862,38.33748272322318,0.26722850068548026,27.953776769005852,0.15721353673976607,0.02039851120985528,45577.897933729524,45577.897933729524,0.01555759062573677,0.01555759062573677,7130.819482443881,7130.819482443881,0.0033039653314843732,0.0033039653314843732,31439.83365763995
6,DD2_M13641364_M0_LK_SR_R04,True,False,,,R04,SR,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.05882581385896109,,2.70356,0.049181120296400004,7.4056,1.74301048783,282.65917893120616,2489.96960486,0.0077722762957731124,inf,0.05882581385896109,,,0.00145906,0.0,0.0018631254538395824,0.025817677585338563,39.10483596757658,0.27956244049051204,25.99417923905117,0.15358199686270613,0.030759625088874483,37273.33376673904,37273.33376673904,0.013328354498053623,0.013328354498053623,5669.227812929167,5669.227812929167,0.002888716332177539,0.002888716332177539,24802.739512874054
7,DD2_M13641364_M0_LR,True,False,,,R01,LR,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.35501818315,1.35501818315,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.05009336453477448,,2.70514,0.04510553512709999,7.4276,1.73658209496,283.3276296921921,2639.36778116,0.012181847953609222,inf,0.05009336453477448,,,0.0007697169999999997,0.0,0.0012298437496043187,0.02251692565649473,32.84142858501321,0.2065052696294099,22.117988581257787,0.17345057645082546,0.02069718031080179,45765.59901366137,45765.59901366137,0.015868048094643362,0.015868048094643362,6678.237545626514,6678.237545626514,0.003254867701297652,0.003254867701297652,32477.783847687188
8,DD2_M13641364_M0_LR_R04,True,False,,,R04,LR,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.10110095661612443,,2.70356,0.0523472143449,7.4056,1.89410162765,282.65917893120616,2489.96960486,0.009139676979659736,inf,0.10110095661612443,,,0.00119645,0.0,0.0017530378407728394,0.02675773807167619,37.562884094702476,0.24802886515156386,25.20560092791173,0.17210754467299094,0.031675406240879014,36797.454257886115,36797.454257886115,0.013631939913783041,0.013631939913783041,4965.025855242223,4965.025855242223,0.002831594164819683,0.002831594164819683,25399.91065631694
9,DD2_M13641364_M0_SR,True,False,,,R01,SR,passed,DD2,1364.0,1364.0,1.4906,1.4906,2.9812,1.35501818315,1.35501818315,8.941079146760002,8.941079146760002,0.151549928553,0.151549928553,0.100775833724,0.100775833724,840.4102373239999,840.4102373239999,840.4102373236123,157.57515136964088,0.1095181550621816,,2.70514,0.04220456104880002,7.4276,1.7400962070099997,283.3276296921921,2390.37082067,0.01240646420427648,inf,0.1095181550621816,,,0.00263355,0.0,0.0004602105213207916,0.017556100138146076,32.700278484096586,0.22638506493647625,18.4552968053388,0.14169050111738907,0.04725541514582203,32554.726994773016,32554.726994773016,0.011652997885504748,0.011652997885504748,5044.775283332097,5044.775283332097,0.0026641798491450143,0.0026641798491450143,21493.9576730501
