,name,EOS,publish,export,comment,resolution,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mdisk_fit,Mej,Yeej,Sej,vej,Ekej,chi2_simDisk,chi2_fitDisk,err_simDisk,err_fitDisk,chi2w_simDisk,chi2w_fitDisk,errw_simDisk,errw_fitDisk,chi2
0,BHBlp_M125125_LK,BHBlp,yes,yes,leakage,125,1.25,1.25,1.35299,1.35299,2.70598,1.24023940375994,1.24023940375994,8.91710657725781,8.91710657725781,0.14018,0.14018,0.10517,0.02864,0.01061,0.10517,0.02864,0.01061,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,242.868733838352,21.9414611178119,yes,2.47564,0.0285657475438,6.16715,1.14736585108,644684,2390.37082067,inf,,0.099835974807158,0.00126821,0.125242271236,14.6854556615,0.178573418684,0.459251644503,34709.392331554,34709.392331554,0.013163878926401,0.013163878926401,4399.49025163303,4399.49025163303,0.002699472611802,0.002699472611802,269687.967244814
1,BHBlp_M1251365_LK,BHBlp,yes,yes,leakage,125,1365,1.25,1.49103,1.35241,2.84344,1.35534628660443,1.23975141216878,8.94143849076379,8.91710657725781,0.15266,0.14018,0.09914,0.02663,0.00972,0.10517,0.02864,0.01061,797.134058520787,1837.52432406198,4111.30445754929,1295.29991380455,3590.1232699913,9669.00043270956,1016.97535763328,190.768609561901,21.8823515781626,yes,2.58906,0.0422719702279,6.63885,1.49161603034,656,2539.76899696,inf,,0.099809246325441,0.000580161,0.136846798679,17.3662278473,0.213024813478,0.351464347476,47954.4025979912,47954.4025979912,0.016647621098779,0.016647621098779,6803.05848066966,6803.05848066966,0.003198864990066,0.003198864990066,47954.4025979912
2,BHBlp_M130130_LK,BHBlp,yes,yes,leakage,125,1.3,1.3,1.41572,1.41572,2.83144,1.29280247452936,1.29280247452936,8.92795824462606,8.92795824462606,0.14561,0.14561,0.10267,0.02781,0.01024,0.10267,0.02781,0.01024,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,196.063867735717,26.9303062642109,yes,2.5796,0.0385810240349,6.60881,1.42656704097,654862,2440.17021277,inf,,0.099817466747414,0.000658751,0.163376437187,22.3327238035,0.119725908155,0.113784924758,71645.367721349,71645.367721349,0.019465907885474,0.019465907885474,13564.0394468198,13564.0394468198,0.004349365047207,0.004349365047207,71645.3677213489
3,BHBlp_M135135_LK,BHBlp,yes,yes,leakage,125,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.5868038799162,yes,2.67288,0.0558950347318,7.01514,1.85579331814,663.58,2589.56838906,inf,,0.099616129547211,0.000672403,0.149520482908,20.3491359781,0.166318356069,0.263299267472,50861.589145959,50861.589145959,0.016794565369027,0.016794565369027,7851.88856413858,7851.88856413858,0.003486214929795,0.003486214929795,50861.589145959
4,BHBlp_M135135_LK_HR,BHBlp,yes,yes,leakage,0.083333,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.216384098114,yes,2.67288,0.0602691490848,7.01514,1.9083086357,663.58,2788.76595745,inf,,0.099616129547211,0.000497278,0.157571758906,20.4932298421,0.17903775196,0.187880286973,56412.5580080696,56412.5580080696,0.017893688307419,0.017893688307419,8574.38694845185,8574.38694845185,0.003643159755418,0.003643159755418,56412.5580080695
5,BHBlp_M135135_M0,BHBlp,yes,no,M0,125,1.35,1.35,1.47277,1.47277,2.94554,1.34023468977113,1.34023468977113,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,34.8628064851439,yes,2.67288,0.056052070356,7.01514,1.83333242535,663.58,2689.16717325,inf,,0.099616129547211,0.00138836,0.262248129383,23.7373162877,0.144859225911,0.395116287729,40731.3579806306,40731.3579806306,0.014053738084309,0.014053738084309,6692.29254305959,6692.29254305959,0.003088741103116,0.003088741103116,40731.3579806307
6,BHBlp_M140120_LK,BHBlp,yes,yes,leakage,125,1.4,1.2,1.53253,1.29693,2.82946,1.38955200310838,1.19291678382275,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.4613637817,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,21.6459134195655,yes,2.57644,0.0332728682462,6.53749,1.24058381219,652714,2489.96960486,inf,,0.09982011495838,0.00108822,0.106069387727,13.2279342741,0.160935823725,0.358130437927,40908.7821669382,40908.7821669382,0.014554445078858,0.014554445078858,6144.47482107478,6144.47482107478,0.003081953073279,0.003081953073279,40908.7821669383
7,BHBlp_M140120_M0,BHBlp,yes,no,M0,125,1.4,1.2,1.53253,1.29693,2.82946,1.38955200310838,1.19291678382275,8.94797392304742,8.90405876678786,0.15646,0.13477,0.09713,0.02596,0.00942,0.10752,0.02943,0.01096,690.630096309075,1508.06528698578,3193.4613637817,1612.24802950828,4859.33007687365,14233.5160506694,1057.59523096822,198.567152823735,26.1382384329106,yes,2.57644,0.0317644511663,6.53749,1.20228661318,652714,2539.76899696,inf,,0.09982011495838,0.00160956,0.193198426805,16.8886133003,0.16773689762,0.603079040492,32719.4644685864,32719.4644685864,0.01226874733,0.01226874733,4288.15290875423,4288.15290875423,0.002585982426122,0.002585982426122,32719.4644685864
8,BHBlp_M140140_LK,BHBlp,yes,yes,leakage,125,1.4,1.4,1.53254,1.53254,3.06508,1.38956022047584,1.38956022047584,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,129.493143057952,14.2926866871953,yes,2.77062,0.0628403817956,7.44301,1.91152878322,671364,2888.36474164,11.9611618271984,0.115094965239,0.098314702938405,0.000918827,0.146825547278,17.550995482,0.173337811733,0.340296109781,43539.336223421,42112.2067248216,0.017270490273272,0.014818183688848,8030.77247843727,5773.06947449389,0.003428625859347,0.003054017879686,43539.336223421
9,BHBlp_M140140_LK_HR,BHBlp,yes,yes,leakage,0.083333,1.4,1.4,1.53254,1.53254,3.06508,1.38956022047584,1.38956022047584,8.94797392304742,8.94797392304742,0.15646,0.15646,0.09713,0.02596,0.00942,0.09713,0.02596,0.00942,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,1508.06528698578,3193.4613637817,690.630096309075,129.493143057952,12.8937609154958,yes,2.77062,0.0663730937489,7.44301,1.98151364623,671364,2888.36474164,10.3297385329686,0.077683846366,0.098314702938405,0.00099084,0.138034911368,16.674950128,0.201674687891,0.49768044241,58392.9401986912,36466.6079953256,0.014331415399001,0.013863320958657,5066.64229851436,4230.34828319183,0.002860031354664,0.002697673813504,58392.9401986912
